Geneid,Genomeid,Name,NOSAL_Rep1,NOSAL_Rep2,NOSAL_Rep3,SAL_REP1,SAL_REP2,SAL_REP3
nbis-gene-1,P_00001,NA,80,58,59,51,52,41
nbis-gene-2,P_00002,NA,38,33,20,24,34,15
nbis-gene-3,P_00003,NA,102,110,91,180,214,179
nbis-gene-4,P_00004,NA,162,150,116,225,197,190
nbis-gene-5,P_00005,xerC_1,1542,1338,1115,1920,1592,1499
nbis-gene-6,P_00006,NA,888,818,686,1464,1353,1176
nbis-gene-7,P_00007,NA,330,409,245,295,222,241
nbis-gene-8,P_00008,NA,37,50,37,44,33,46
nbis-gene-9,P_00009,NA,764,862,649,700,677,632
nbis-gene-10,P_00010,NA,71,74,45,62,45,43
nbis-gene-11,P_00011,NA,862,746,664,710,619,587
nbis-gene-12,P_00012,NA,560,474,405,484,476,429
nbis-gene-13,P_00013,NA,63,53,46,63,44,53
nbis-gene-14,P_00014,NA,92,57,52,77,73,54
nbis-gene-15,P_00015,NA,20,29,33,23,20,9
nbis-gene-16,P_00016,NA,79,92,61,138,60,65
nbis-gene-17,P_00017,NA,147,142,92,121,118,115
nbis-gene-18,P_00018,rhtB_1,4391,4291,3545,3966,3994,3493
nbis-gene-19,P_00019,anoR_1,1867,1876,1507,698,670,595
nbis-gene-20,P_00020,trpC_1,4651,3793,3205,165,98,152
nbis-gene-21,P_00021,NA,3028,2479,2047,366,345,322
nbis-gene-22,P_00022,wbpE_1,4761,4145,3154,840,673,638
nbis-gene-23,P_00023,wbpE_2,7214,5542,4281,977,786,861
nbis-gene-24,P_00024,iolE_1,3205,2396,2018,381,252,333
nbis-gene-25,P_00025,lysK,3839,3099,2535,384,301,234
nbis-gene-26,P_00026,yjmC,3504,3113,2415,376,356,317
nbis-gene-27,P_00027,iolG_1,1965,1898,1327,179,185,169
nbis-gene-28,P_00028,NA,494,399,435,37,27,30
nbis-gene-29,P_00029,trpB_1,8085,6173,5086,683,548,540
nbis-gene-30,P_00030,trpA_1,2450,2031,1695,344,285,240
nbis-gene-31,P_00031,trpF_1,901,759,574,114,142,102
nbis-gene-32,P_00032,trpD_1,2228,1768,1593,148,125,109
nbis-gene-33,P_00033,wbpA_1,2629,2509,1917,405,355,312
nbis-gene-34,P_00034,NA,1291,1231,996,805,867,801
nbis-gene-35,P_00035,NA,372,341,276,303,240,202
nbis-gene-36,P_00036,NA,14,8,9,16,11,13
nbis-gene-37,P_00037,NA,12,8,3,0,0,9
nbis-gene-38,P_00038,NA,45,38,34,15,18,27
nbis-gene-39,P_00039,NA,49,30,39,25,18,19
nbis-gene-40,P_00040,NA,37,45,48,22,21,44
nbis-gene-41,P_00041,NA,148,136,142,105,90,115
nbis-gene-42,P_00042,NA,1598,1446,1180,1556,1352,1351
nbis-gene-43,P_00043,NA,273,243,181,363,287,259
nbis-gene-44,P_00044,NA,300,358,248,658,765,552
