Geneid,NOSAL_Rep1,NOSAL_Rep2,NOSAL_Rep3,SAL_REP1,SAL_REP2,SAL_REP3,Gene_name,Locus_tag
nbis-gene-1,274,114,158,729,163,102,NA,P_00001
nbis-gene-2,135,63,78,480,88,45,NA,P_00002
nbis-gene-3,125,74,102,607,160,44,NA,P_00003
nbis-gene-4,191,171,238,614,330,111,NA,P_00004
nbis-gene-5,3424,1696,2630,7149,2341,1625,xerC_1,P_00005
nbis-gene-6,2241,1261,1498,4646,1933,669,NA,P_00006
nbis-gene-7,365,328,380,1599,348,243,NA,P_00007
nbis-gene-8,147,80,81,456,84,31,NA,P_00008
nbis-gene-9,1498,803,1324,5845,1165,590,NA,P_00009
nbis-gene-10,178,66,128,858,84,51,NA,P_00010
nbis-gene-11,1045,627,792,3917,960,321,NA,P_00011
nbis-gene-12,661,453,492,2315,662,198,NA,P_00012
nbis-gene-13,218,108,102,661,145,53,NA,P_00013
nbis-gene-14,120,71,102,472,132,38,NA,P_00014
nbis-gene-15,176,64,75,457,65,31,NA,P_00015
nbis-gene-16,145,77,127,535,118,48,NA,P_00016
nbis-gene-17,219,136,148,953,206,113,NA,P_00017
nbis-gene-18,4168,1984,3841,13568,2926,1798,rhtB_1,P_00018
nbis-gene-19,1590,1365,2002,5653,1939,891,anoR_1,P_00019
nbis-gene-20,433,351,684,1379,479,180,trpC_1,P_00020
nbis-gene-21,370,455,737,1409,532,235,NA,P_00021
nbis-gene-22,747,716,1023,2333,849,376,wbpE_1,P_00022
nbis-gene-23,1297,1266,1662,3541,1589,666,wbpE_2,P_00023
nbis-gene-24,602,418,632,1437,622,281,iolE_1,P_00024
nbis-gene-25,928,474,636,1826,594,238,lysK,P_00025
nbis-gene-26,1278,685,834,2092,715,379,yjmC,P_00026
nbis-gene-27,1107,387,357,1358,423,154,iolG_1,P_00027
nbis-gene-28,271,110,119,257,163,49,NA,P_00028
nbis-gene-29,6790,2041,1351,4522,2598,465,trpB_1,P_00029
nbis-gene-30,2669,642,514,1813,874,197,trpA_1,P_00030
nbis-gene-31,1023,239,168,908,291,74,trpF_1,P_00031
nbis-gene-32,2240,456,244,1975,683,109,trpD_1,P_00032
nbis-gene-33,4381,849,566,4482,1223,299,wbpA_1,P_00033
nbis-gene-34,1310,508,818,3892,939,376,NA,P_00034
nbis-gene-35,747,356,423,2695,502,223,NA,P_00035
nbis-gene-36,76,32,38,281,29,14,NA,P_00036
nbis-gene-37,30,12,26,87,28,11,NA,P_00037
nbis-gene-38,115,39,81,305,82,53,NA,P_00038
nbis-gene-39,114,66,111,321,102,73,NA,P_00039
nbis-gene-40,137,55,73,532,87,29,NA,P_00040
nbis-gene-41,363,184,220,1270,288,119,NA,P_00041
nbis-gene-42,2486,1672,1520,8882,1873,725,NA,P_00042
nbis-gene-43,2748,1325,1110,8945,1391,538,NA,P_00043
nbis-gene-44,1983,879,809,6134,1027,349,NA,P_00044
nbis-gene-45,2258,771,634,7394,903,276,NA,P_00045
nbis-gene-46,5485,2128,1889,15929,2357,809,NA,P_00046
nbis-gene-47,22063,7436,6947,62313,10288,3159,NA,P_00047
nbis-gene-48,13453,4977,4996,39199,7178,2330,NA,P_00048
nbis-gene-49,32237,11936,11853,93759,16074,5601,NA,P_00049
nbis-gene-50,18143,7749,8161,56186,10438,3862,NA,P_00050
nbis-gene-51,15982,6584,8633,57158,9641,3384,NA,P_00051
nbis-gene-52,1344,873,1112,4732,1767,579,NA,P_00052
nbis-gene-53,456,220,299,1461,408,132,NA,P_00053
nbis-gene-54,288,196,206,812,287,111,NA,P_00054
nbis-gene-55,257,131,229,691,233,94,NA,P_00055
nbis-gene-56,154,54,108,665,112,42,tcpE,P_00056
nbis-gene-57,823,334,458,2716,451,233,NA,P_00057
nbis-gene-58,183,55,123,581,104,65,NA,P_00058
nbis-gene-59,294,192,219,1135,274,113,NA,P_00059
nbis-gene-60,1065,530,932,3762,584,321,bfpB,P_00060
nbis-gene-61,639,305,510,2361,390,275,NA,P_00061
nbis-gene-62,1516,632,1634,4918,937,690,NA,P_00062
nbis-gene-63,692,449,534,2503,530,340,rapA_1,P_00063
nbis-gene-64,635,290,482,2460,469,234,NA,P_00064
nbis-gene-65,1184,539,941,3797,736,421,topA_1,P_00065
nbis-gene-66,188,96,139,604,156,66,NA,P_00066
nbis-gene-67,643,251,435,1678,276,187,NA,P_00067
nbis-gene-68,157,75,105,421,93,25,NA,P_00068
nbis-gene-69,223,104,201,566,151,61,NA,P_00069
nbis-gene-70,63,91,83,368,145,52,NA,P_00070
nbis-gene-71,303,172,186,998,247,69,NA,P_00071
nbis-gene-72,554,329,466,1906,448,198,NA,P_00072
nbis-gene-73,727,452,829,3076,687,305,NA,P_00073
nbis-gene-74,103,23,43,329,53,25,NA,P_00074
nbis-gene-75,451,158,300,1545,302,112,yejK_1,P_00075
nbis-gene-76,139,93,82,442,110,49,NA,P_00076
nbis-gene-77,577,464,502,2303,665,217,dnaB_1,P_00077
nbis-gene-78,15,24,27,74,23,17,NA,P_00078
nbis-gene-79,206,173,184,815,181,66,NA,P_00079
nbis-gene-80,141,61,175,718,123,91,NA,P_00080
nbis-gene-81,108,81,120,520,99,42,NA,P_00081
nbis-gene-82,689,347,492,2850,367,198,soj_1,P_00082
nbis-gene-83,5170,2281,4118,19029,3017,2291,ndh,P_00084
nbis-gene-84,412,186,274,1544,323,126,NA,P_00085
nbis-gene-85,1361,623,1451,5021,940,723,NA,P_00086
nbis-gene-86,1188,692,1558,3863,1484,731,NA,P_00087
nbis-gene-87,645,253,573,1785,483,375,NA,P_00088
nbis-gene-88,429,236,591,1430,376,275,yacG,P_00089
nbis-gene-89,1541,757,1682,5080,1186,890,coaE,P_00090
nbis-gene-90,740,424,887,2793,617,328,outO,P_00091
nbis-gene-91,1064,630,1042,3458,984,566,epsF_1,P_00092
nbis-gene-92,1198,563,1184,4164,790,654,pilA,P_00093
nbis-gene-93,1956,633,2450,9566,793,892,NA,P_00095
nbis-gene-94,2819,1659,3883,10590,2410,1812,nadC,P_00096
nbis-gene-95,1251,668,1017,3018,814,502,NA,P_00097
nbis-gene-96,1303,599,1602,5165,897,613,ampD,P_00098
nbis-gene-97,1552,919,2740,5933,1394,1039,NA,P_00099
nbis-gene-98,576,524,829,2025,628,563,NA,P_00100
nbis-gene-99,86,94,132,373,151,47,NA,P_00101
nbis-gene-100,569,402,723,2109,601,420,yjjV,P_00102
nbis-gene-101,2735,1885,4823,10725,2978,2665,cra,P_00103
nbis-gene-102,5055,1540,4742,12545,3315,3103,NA,P_00104
nbis-gene-103,2425,899,2602,8249,2348,1658,lacC,P_00105
nbis-gene-104,3195,1647,3547,12456,3413,1939,fruA,P_00106
nbis-gene-105,265,169,340,1354,243,129,phoD_1,P_00107
nbis-gene-106,1465,1109,1696,6510,1465,931,NA,P_00108
nbis-gene-107,447,302,413,1806,400,225,bfrD,P_00109
nbis-gene-108,205,290,518,1333,276,278,NA,P_00110
nbis-gene-109,93,231,269,416,245,105,NA,P_00111
nbis-gene-110,7193,3897,9259,33152,4623,3316,ldc,P_00112
nbis-gene-111,1859,1674,9884,10227,1970,3597,osmV,P_00113
nbis-gene-112,956,706,4586,5390,1060,1703,osmW,P_00114
nbis-gene-113,1897,1132,6373,10064,1812,2996,osmX,P_00115
nbis-gene-114,3727,1995,6740,13920,2720,3888,osmY_1,P_00116
nbis-gene-115,6426,2587,5531,33325,4863,4079,prfC,P_00117
nbis-gene-116,429,217,516,1620,294,120,NA,P_00118
nbis-gene-117,407,301,425,1253,264,175,pfeA_1,P_00119
nbis-gene-118,1127,827,1359,3741,874,535,ddpF,P_00120
nbis-gene-119,1337,669,1410,4129,841,475,dppD,P_00121
nbis-gene-120,782,576,1313,2992,826,536,dppC,P_00122
nbis-gene-121,1249,742,1309,4531,1016,602,dppB,P_00123
nbis-gene-122,716,396,840,3052,662,426,dppA_1,P_00124
nbis-gene-123,470,271,493,2031,410,212,oprD_1,P_00125
nbis-gene-124,1238,1063,2501,5836,1194,735,dppA_2,P_00126
nbis-gene-125,6026,3524,11166,36070,4224,3601,dppA_3,P_00127
nbis-gene-126,2602,1309,4228,11895,1524,1134,dppA_4,P_00128
nbis-gene-127,1339,638,1062,4931,973,518,NA,P_00129
nbis-gene-128,2685,1449,3374,11708,1708,1337,NA,P_00130
nbis-gene-129,5516,1083,2993,15409,2204,2269,regB,P_00131
nbis-gene-130,7946,1597,4431,22374,2873,2740,regA,P_00132
nbis-gene-131,14250,8913,11981,60975,11712,6322,bacA,P_00133
nbis-gene-132,4218,2171,6993,22274,3148,2781,NA,P_00134
nbis-gene-133,1173,457,1304,5053,601,472,NA,P_00135
nbis-gene-134,3732,2422,5418,17619,3147,2342,NA,P_00136
nbis-gene-135,1419,647,1325,7887,792,627,cdhR_1,P_00138
nbis-gene-136,2008,3452,4630,8016,4168,2117,mmgC_1,P_00139
nbis-gene-137,6978,4088,13985,28118,5200,4702,tas,P_00140
nbis-gene-138,59822,24925,48026,219148,41609,42407,rplM,P_00141
nbis-gene-139,23676,14679,28330,97066,23813,24399,rpsI,P_00142
nbis-gene-140,10880,4786,11470,31693,7568,6193,petA,P_00143
nbis-gene-141,8857,3266,11527,27212,5899,4777,petB,P_00144
nbis-gene-142,7212,4005,10465,20784,6009,4394,petC,P_00145
nbis-gene-143,3230,1181,3331,11872,1902,2212,sspA,P_00146
nbis-gene-144,2604,1993,4401,9573,2446,2135,sspB,P_00147
nbis-gene-145,2879,1617,4049,10216,2447,1977,lutR_1,P_00148
nbis-gene-146,3823,2607,4656,15311,3505,2342,tyrS,P_00149
nbis-gene-147,11403,3664,6861,41905,6975,3868,NA,P_00150
nbis-gene-148,3804,2296,3610,14450,3587,2295,anmK,P_00151
nbis-gene-149,3766,2805,6837,16874,3022,1714,erpA,P_00152
nbis-gene-150,7496,6551,14318,35301,7329,5982,argC,P_00153
nbis-gene-151,2049,973,2087,7088,1089,786,NA,P_00154
nbis-gene-152,2658,1432,3449,9327,1649,1363,NA,P_00155
nbis-gene-153,1786,852,2068,6430,980,940,NA,P_00156
nbis-gene-154,1725,874,2357,6705,1191,1235,ephD,P_00157
nbis-gene-155,888,442,1038,3701,685,407,NA,P_00158
